nama,usia,posisi,tim,tinggi,berat,gol,assist
Andik Vermansyah,30,WF,Madura United,168,60,11,8
Egy Maulana Vikri,21,AM,Mitra Kukar,170,65,5,6
Firza Andika,26,GK,Persik Kediri,183,75,0,0
Febri Hariyadi,26,WF,Persib Bandung,170,64,7,12
Irfan Bachdim,33,WF,Bali United,170,60,19,14
Bambang Pamungkas,41,CF,Persija Jakarta,173,68,37,12
Riko Simanjuntak,28,AM,PSM Makassar,172,65,13,7
Stefano Lilipaly,31,AM,Bali United,173,68,10,18
Evan Dimas Darmono,26,DM,Bhayangkara FC,166,62,5,12
Yanto Basna,37,DF,Persipura Jayapura,180,75,4,2
Greg Nwokolo,34,WF,Arema FC,172,70,17,11
Kurniawan Dwi Yulianto,44,WF,Mitra Kukar,168,60,11,12
Zulfiandi,26,CM,Persebaya Surabaya,168,60,4,8
Awan Setho Raharjo,27,GK,Persija Jakarta,178,80,0,0
Bagus Kahfi,19,WF,Persebaya Surabaya,172,65,2,5
Abdul Rahman,26,DF,Persipura Jayapura,175,68,0,1
Teja Paku Alam,26,DM,Persiraja Banda Aceh,175,70,2,2
Erik Setiawan,31,DF,PSM Makassar,178,70,1,0
Rizky Pellu,26,AM,PS Barito Putera,167,55,3,3
Yusuke Kato,28,DF,Persib Bandung,178,70,1,1
